Whether or not parents should let children makes mistakes and correct them by themselves is an oftened debated topic.	S_T0
While many people confirm that children should be avoided being exposed to the environment filled with challenge and risks,I do not believe that this is the case.	S_T1
I definitely believe children need to learn something from their past experience,being punished and then correct mistakes deliberately.	S_T0
Firstly,children have a deep impression on what they have gone through.	S_M1
The area of thoughts in childrens' mind is somewhere parents cannot get involved in.	B_S0
So how to make a reinforcement on what they have learned?	I_S0
According to Edward.L.Skinner and other behaviorists,all the animals ,included human beings, can learn from trial-and-error learning.	I_S0
When a person makes mistakes while handling a difficult task, he will less likely to make the same mistakes.	I_S0
There are many experiments that gave us the same result.	I_S0
It is absolutely clear that the result is replicable.	I_S0
I once failed to pass my math exam.	E_S0
As a result of this, I worked harder on the skills of dealing with math problem.	S_M1
Finally, I didn't make the same fault.	S_S2
Last but not the least,parents are necessary to provide children with more chances of broading the horizon.	B_C0
There are many difference between children from China and those from America.	I_C0
It may due to the culture differences.	I_C0
However, it depends more of the method of nurturing.	E_C0
Children in China were cared by their parents so well that they sometimes fail to understand what they really want.	B_S1
They spend most nof their time doing homework.	E_S1
Comparing to them, English	O
 
In this day and age, it is commonly acknowledged that a stable job can always bring a secure and successful future, which also is the dream goal of everyone in the society.	S_I0
Certainly, some people thinks that it is easier to indentify what kind of job can lead a successful future rather than nowadays because there were less choices.	B_T1
However, I disagree with this statement, and my opinions will prove this in several aspects.	E_T1
First of all, people are difficult to identify if the job can lead them a better future due to the career varity in the past.	S_M2
There are various jobs and careers in the sociey through fast developement.	B_S0
Thus, in current period, people can have more opportunities to choose careers.	I_S0
However, in the past, there are few types of jobs can be supported, and it is undoubtly harder for people to choose jobs because it is unflexible to have other chioces.	I_S0
For example, A comapny is hiring a designer, in fact, this company just want to employee a computer	E_S0
 
In the day adn age, a controversial topic has aroused a heated debate among people: teachers' salary should or not same as doctors, lawyers or business leaders are paid.	S_T1
Opinions vary from person to person.	S_I0
Some claim that teachers cannot have higher  salary.	S_T1
However, contrary to their view comes my perspective that teachers are worth to get higher salary.	S_S2
My point can be elaborated as follows.	S_T1
Firstly, being teacher is very tiring, so teachers can get as much as doctors, lawyers or business leaders are paid.	S_M2
To be more specific, because of teachers are the most important role on education.	B_S0
So they deserve the government to pay them so much.	I_S0
Moreover, because doctors and lawyers are also very tired, but they have high salaries, so the government should give them the same treatment and let teachers get high salaries too.	I_S0
For example,	E_S0
 
Nowadays, more people are talking about the word '' independent''.	B_I0
At this time , young people mostly no longer rely on their parents to make decisions for them.	E_I0
In my opinion, the two reasons of the change is the change of laws and the change of people views.	S_T0
Firstly,in the past , all the law said that young people belong to their family and parents should make descisions for them.	S_M2
At that time, the law gave parents the highest power in their family, and young people has no free to make their own decisions.	B_S0
If they make different decisions from their parents and they have an arguement, the law will support parents.	I_S0
However, nowadays, when a young person has an arguement with parents, the law force will doubt the parents first.	I_S0
The change of laws helps young people make their own decisions.	E_S0
Secondly,	S_S2
 
The phenominum of giving school-age children money has been discussed widely, some people think it's a good idea, others think it's inappropriate.	S_I0
From my point of view, offering mooney to school-age children has some disadvantages such as children wil misunderstand why do they study and they will be unpopular in class.	S_T1
First, children will misunderstand why do they study if parents give them money for high grade.	S_M1
They will gradually study for money.	B_S0
Actually what parents should do is seting up a right model of value so that their children will know they study for themselves.	I_S0
As a result, children will realize they are studying for their future.	I_S0
For instance, my friend Mike told me his parents always bought him his favorate toys when he got a good grade in high school.	I_S0
When he graduated from high school, he found out he learned nothing because what he did in high school was persuing the high score.	I_S0
He ignored the knowledge itself so he started to worry about his future.	I_S0
As a result, he has no job now.	I_S0
he was fired by many companies because he was not good even one thing.	E_S0
Furthermore, children will be unpopular in class if their parents give them money.	S_M1
Children will develop a bad habbit if their parents are insisting to give them money for high grade.	B_S0
No matter what they do, they consider about the profit first.	I_S0
such kind of people won't be popular in a group.	I_S0
Here is an example of mine, when I studied in middle school, my grade was good and my parents liked to give me money when I got good grade.	I_S0
Later I became very mean and unpopular.	I_S0
The reason was when other kids asked me to help them, I always tell them do not ask me for help unless giving me a candy.	I_S0
Then other kids didn't asked for help anymore.	I_S0
Nobody even talked with me.	I_S0
I feel lonely in class.	I_S0
One day I write letters to every single child in class.	I_S0
In the letter, I said I will give you a candy if you ask me for help.	I_S0
Everything was changed.	I_S0
I became more friendly and popular.	E_S0
To sum up, although giving money to children who get high grade in school has benifit like motivating studetns for pursuing better grade, I still think it is not a good idea.	S_C2
 
With the development of science and technology, people have more methods to kill time, and they have lots of ways to make friends.	B_I0
But more and more people like to ask their friends, are you happy today.	I_I0
The answer always is negtive.	E_I0
In my perspective, I think although the world is changing quickly, but the happiness of human is deceasing.	S_T0
My reasons and examples are given below.	S_T1
First of all, for the kids, they have much pressure in studying than before, so they are less happy than the kids in the past.	S_M1
More parents today want their children to behave well in school and get good grades.	B_S0
Even they want their children to be elites and get outstanding achievements.	I_S0
As a result, the children get more and more expection from their parents, so that they lost themselves in their childhood.	I_S0
However in the past, parents hadlow stantards for their children's education and they only hoped their children could grow up healthily.	I_S0
Hence kids could have childhood.	I_S0
time at that time.	I_S0
A good case in point, nowadays, there are some school which are opened for the preschool students.	I_S0
The youngest kids there are only 2 years old.	I_S0
Their parents send them there to study painting, piano or something else.	E_S0
Secondly, for the adult, they are worried more things than before, so they have less happiniess.	S_M1
With the develpment of economy, the price of everything becomes higher and higher.	B_S0
And adults have to support the whole family.	I_S0
They have think out ways to earn more money.	I_S0
In addition, they have to take care of their children, they have to bring their children to the greatest school in that city, and give them sufficient nutrition.	I_S0
Plus, the adults need to take care of parents.	I_S0
If their parents are ill, they should spend money to treat parents and spare time to take care of parents.	I_S0
For example, there are lots of young couple are depressed and have no vigorous to work, because they think they cannot earn enough money for their child and parents.	I_S0
And they are too busy to accompany with their family.	I_S0
In contrast, in the past, people did not need to pay the high expense of the house and did not to select the most suitable for their children.	E_S0
Admittedly, recent people have more devices to kill time, such as laptops and mobile phones.	B_C0
But they still feel unhappy because they have more problems have to be solve.	I_C0
But i the past, everything was pure and simple.	E_C0
Above all, I think	O
 
Everyone will make mistakes in the daily life.	S_I0
